,Tipo de recurso,Cantidad,Producto
0,1,58,1
1,2,42,1
2,3,99,1
3,4,75,1
4,5,45,1
5,6,27,1
6,7,29,1
7,8,24,1
8,9,33,1
9,10,68,1
10,11,57,1
11,12,32,1
12,13,26,1
13,14,11,1
14,15,68,1
15,16,56,1
16,17,48,1
17,18,45,1
18,19,33,1
19,20,26,1
20,21,65,1
21,22,30,1
22,23,2,1
23,24,99,1
24,25,63,1
25,26,50,1
26,27,4,1
27,28,42,1
28,29,1,1
29,30,60,1
30,31,40,1
31,32,81,1
32,33,88,1
33,34,8,1
34,35,94,1
35,36,83,1
36,37,2,1
37,38,93,1
38,39,28,1
39,40,56,1
40,41,20,1
41,42,66,1
42,43,87,1
43,44,71,1
44,45,32,1
45,46,24,1
46,47,9,1
47,48,58,1
48,49,24,1
49,50,19,1
50,1,22,2
51,2,2,2
52,3,1,2
53,4,31,2
54,5,52,2
55,6,74,2
56,7,3,2
57,8,33,2
58,9,26,2
59,10,12,2
60,11,85,2
61,12,31,2
62,13,57,2
63,14,14,2
64,15,94,2
65,16,54,2
66,17,76,2
67,18,54,2
68,19,84,2
69,20,75,2
70,21,66,2
71,22,46,2
72,23,64,2
73,24,85,2
74,25,82,2
75,26,99,2
76,27,48,2
77,28,73,2
78,29,25,2
79,30,31,2
80,31,3,2
81,32,26,2
82,33,87,2
83,34,31,2
84,35,13,2
85,36,34,2
86,37,59,2
87,38,75,2
88,39,61,2
89,40,54,2
90,41,3,2
91,42,6,2
92,43,47,2
93,44,14,2
94,45,66,2
95,46,30,2
96,47,52,2
97,48,6,2
98,49,65,2
99,50,77,2
100,1,49,3
101,2,64,3
102,3,89,3
103,4,95,3
104,5,81,3
105,6,43,3
106,7,55,3
107,8,95,3
108,9,48,3
109,10,93,3
110,11,39,3
111,12,85,3
112,13,5,3
113,14,13,3
114,15,2,3
115,16,49,3
116,17,40,3
117,18,17,3
118,19,36,3
119,20,5,3
120,21,57,3
121,22,89,3
122,23,60,3
123,24,90,3
124,25,33,3
125,26,9,3
126,27,28,3
127,28,15,3
128,29,66,3
129,30,12,3
130,31,8,3
131,32,47,3
132,33,39,3
133,34,59,3
134,35,98,3
135,36,91,3
136,37,5,3
137,38,26,3
138,39,89,3
139,40,24,3
140,41,98,3
141,42,54,3
142,43,44,3
143,44,0,3
144,45,21,3
145,46,53,3
146,47,23,3
147,48,4,3
148,49,88,3
149,50,13,3
150,1,66,4
151,2,15,4
152,3,75,4
153,4,15,4
154,5,98,4
155,6,52,4
156,7,70,4
157,8,82,4
158,9,25,4
159,10,69,4
160,11,27,4
161,12,2,4
162,13,80,4
163,14,32,4
164,15,33,4
165,16,28,4
166,17,30,4
167,18,84,4
168,19,60,4
169,20,6,4
170,21,22,4
171,22,97,4
172,23,28,4
173,24,25,4
174,25,32,4
175,26,63,4
176,27,86,4
177,28,47,4
178,29,13,4
179,30,85,4
180,31,54,4
181,32,14,4
182,33,84,4
183,34,33,4
184,35,75,4
185,36,97,4
186,37,27,4
187,38,2,4
188,39,76,4
189,40,22,4
190,41,22,4
191,42,60,4
192,43,98,4
193,44,86,4
194,45,31,4
195,46,56,4
196,47,10,4
197,48,76,4
198,49,43,4
199,50,29,4
200,1,99,5
201,2,13,5
202,3,15,5
203,4,17,5
204,5,7,5
205,6,53,5
206,7,8,5
207,8,67,5
208,9,78,5
209,10,52,5
210,11,20,5
211,12,39,5
212,13,67,5
213,14,80,5
214,15,87,5
215,16,98,5
216,17,48,5
217,18,0,5
218,19,48,5
219,20,67,5
220,21,41,5
221,22,18,5
222,23,86,5
223,24,1,5
224,25,82,5
225,26,12,5
226,27,6,5
227,28,78,5
228,29,36,5
229,30,43,5
230,31,76,5
231,32,17,5
232,33,34,5
233,34,76,5
234,35,92,5
235,36,19,5
236,37,85,5
237,38,42,5
238,39,20,5
239,40,2,5
240,41,43,5
241,42,8,5
242,43,9,5
243,44,43,5
244,45,61,5
245,46,92,5
246,47,71,5
247,48,95,5
248,49,32,5
249,50,7,5
250,1,65,6
251,2,62,6
252,3,42,6
253,4,45,6
254,5,36,6
255,6,7,6
256,7,62,6
257,8,38,6
258,9,57,6
259,10,67,6
260,11,28,6
261,12,59,6
262,13,88,6
263,14,5,6
264,15,34,6
265,16,8,6
266,17,53,6
267,18,60,6
268,19,96,6
269,20,68,6
270,21,31,6
271,22,55,6
272,23,80,6
273,24,93,6
274,25,91,6
275,26,71,6
276,27,45,6
277,28,91,6
278,29,54,6
279,30,36,6
280,31,80,6
281,32,70,6
282,33,13,6
283,34,23,6
284,35,11,6
285,36,51,6
286,37,21,6
287,38,30,6
288,39,49,6
289,40,89,6
290,41,21,6
291,42,68,6
292,43,44,6
293,44,93,6
294,45,54,6
295,46,55,6
296,47,68,6
297,48,33,6
298,49,76,6
299,50,36,6
300,1,29,7
301,2,78,7
302,3,62,7
303,4,75,7
304,5,33,7
305,6,88,7
306,7,59,7
307,8,36,7
308,9,99,7
309,10,30,7
310,11,22,7
311,12,90,7
312,13,21,7
313,14,86,7
314,15,8,7
315,16,35,7
316,17,65,7
317,18,19,7
318,19,66,7
319,20,80,7
320,21,79,7
321,22,64,7
322,23,86,7
323,24,80,7
324,25,95,7
325,26,46,7
326,27,28,7
327,28,91,7
328,29,94,7
329,30,48,7
330,31,14,7
331,32,87,7
332,33,88,7
333,34,9,7
334,35,0,7
335,36,13,7
336,37,66,7
337,38,59,7
338,39,25,7
339,40,7,7
340,41,65,7
341,42,41,7
342,43,99,7
343,44,57,7
344,45,4,7
345,46,61,7
346,47,6,7
347,48,51,7
348,49,92,7
349,50,28,7
350,1,94,8
351,2,28,8
